,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discover_method,planet_orbital_inclination,planet_density,right_ascension,ra,declination,host_temperature,host_mass,host_radius
3241,3241,Kepler-577 b,1791.0,7.04 Earths,14.937,2016,Neptune-like,0.227 x Jupiter,Unknown,25.7 days,0.0,Kepler-574,Transit,,,19h20m59.29s,290.247043,+52d08m56.9s,5612.0,0.95,0.91
3242,3242,Kepler-578 b,1853.0,4.66 Earths,14.411,2016,Super Earth,2.0 x Earth,Unknown,1.6 days,0.0,Kepler-575,Transit,,,19h07m51.33s,286.963889,+37d49m46.9s,5710.0,0.97,0.95
3243,3243,Kepler-579 b,2163.0,4.66 Earths,14.246,2016,Super Earth,2.0 x Earth,Unknown,9.7 days,0.0,Kepler-576,Transit,,,19h40m43.90s,295.18292,+38d39m15.2s,5672.0,0.99,0.97
3244,3244,Kepler-57 b,2141.0,18.86 Jupiters,14.774,2012,Gas Giant,2.19 x Earth,Unknown,5.7 days,0.0,Kepler-577,Transit,,,19h38m50.86s,294.711927,+39d04m25.5s,4984.0,0.78,0.73
3245,3245,Kepler-57 c,2141.0,6.95 Jupiters,14.774,2012,Super Earth,1.55 x Earth,Unknown,11.6 days,0.0,Kepler-578,Transit,,,19h15m01.19s,288.75495,+39d33m49.2s,5334.0,0.87,0.83
3246,3246,Kepler-580 b,1086.0,7.13 Earths,14.95,2016,Neptune-like,0.229 x Jupiter,Unknown,8.2 days,0.0,Kepler-579,Transit,,,19h40m00.49s,295.002039,+39d57m10.5s,5636.0,0.99,0.96
3247,3247,Kepler-581 b,2717.0,7.41 Earths,14.53,2016,Neptune-like,0.235 x Jupiter,Unknown,40.6 days,0.0,Kepler-58,Transit,,,19h45m26.08s,296.358649,+39d06m54.7s,6099.0,,1.13
3248,3248,Kepler-582 b,2450.0,13.1 Earths,14.913,2016,Neptune-like,0.328 x Jupiter,Unknown,18.5 days,0.0,Kepler-58,Transit,,,19h45m26.08s,296.358649,+39d06m54.7s,6099.0,,1.13
3249,3249,Kepler-583 b,2626.0,5.82 Earths,14.798,2016,Neptune-like,0.203 x Jupiter,Unknown,6.5 days,0.0,Kepler-58,Transit,,,19h45m26.08s,296.358649,+39d06m54.7s,6099.0,,1.13
3250,3250,Kepler-584 b,4714.0,16.5 Earths,14.814,2016,Neptune-like,0.376 x Jupiter,Unknown,35.2 days,0.0,Kepler-580,Transit,,,18h53m59.96s,283.499815,+40d33m10.1s,4298.0,0.67,0.64
3251,3251,Kepler-585 b,1970.0,8.4 Earths,14.017,2016,Neptune-like,0.252 x Jupiter,Unknown,2.8 days,0.0,Kepler-581,Transit,,,19h41m43.87s,295.432782,+40d38m53.7s,5772.0,1.0,1.0
3252,3252,Kepler-586 b,2306.0,8.2 Earths,14.412,2016,Neptune-like,0.249 x Jupiter,Unknown,2.1 days,0.0,Kepler-582,Transit,,,19h50m00.88s,297.503687,+41d03m25.3s,5564.0,0.93,0.91
3253,3253,Kepler-587 b,2779.0,5.6 Earths,14.866,2016,Neptune-like,2.23 x Earth,Unknown,10.9 days,0.0,Kepler-583,Transit,,,18h48m26.72s,282.11133,+42d21m16.2s,5523.0,0.94,0.91
3254,3254,Kepler-588 b,3171.0,7.41 Earths,14.681,2016,Neptune-like,0.235 x Jupiter,Unknown,4.2 days,0.0,Kepler-584,Transit,,,19h12m55.34s,288.230593,+42d24m49.0s,6195.0,1.17,1.24
3255,3255,Kepler-589 b,2097.0,5.77 Earths,14.661,2016,Neptune-like,0.203 x Jupiter,Unknown,16.5 days,0.0,Kepler-585,Transit,,,19h06m06.84s,286.528499,+43d52m24.3s,5593.0,0.96,0.93
3256,3256,Kepler-58 b,3250.0,1.39 Jupiters,14.866,2012,Neptune-like,0.248 x Jupiter,Unknown,10.2 days,0.0,Kepler-586,Transit,,,19h32m13.73s,293.05722,+45d33m04.3s,5575.0,0.94,0.92
3257,3257,Kepler-58 c,3250.0,2.19 Jupiters,14.866,2012,Neptune-like,0.255 x Jupiter,Unknown,15.6 days,0.0,Kepler-587,Transit,,,19h14m40.97s,288.67069,+47d23m56.9s,5549.0,0.92,0.89
3258,3258,Kepler-58 d,3250.0,8.96 Earths,14.866,2014,Neptune-like,0.262 x Jupiter,0.236 AU,40.1 days,0.0,Kepler-588,Transit,,,18h57m01.73s,284.25721,+47d41m20.2s,5835.0,1.01,1.0
3259,3259,Kepler-590 b,3216.0,15.2 Earths,14.417,2016,Neptune-like,0.359 x Jupiter,Unknown,5.9 days,0.0,Kepler-589,Transit,,,18h42m33.93s,280.641367,+47d45m07.0s,5296.0,0.88,0.83
3260,3260,Kepler-591 b,2587.0,11.4 Earths,14.461,2016,Neptune-like,0.302 x Jupiter,Unknown,81.2 days,0.0,Kepler-59,Transit,,,19h08m09.48s,287.039503,+46d38m24.5s,6074.0,1.04,0.94
3261,3261,Kepler-592 b,3373.0,6.3 Earths,14.628,2016,Neptune-like,0.213 x Jupiter,Unknown,2.8 days,0.0,Kepler-59,Transit,,,19h08m09.48s,287.039503,+46d38m24.5s,6074.0,1.04,0.94
3262,3262,Kepler-593 b,3314.0,8.6 Earths,14.499,2016,Neptune-like,0.256 x Jupiter,Unknown,21.2 days,0.0,Kepler-590,Transit,,,19h45m32.53s,296.385544,+48d14m00.4s,6000.0,1.1,1.15
3263,3263,Kepler-594 b,2420.0,5.39 Earths,14.756,2016,Neptune-like,2.18 x Earth,Unknown,13.6 days,0.0,Kepler-591,Transit,,,19h04m05.77s,286.024025,+48d25m54.4s,5677.0,0.97,0.94
3264,3264,Kepler-595 b,2084.0,13.9 Earths,14.763,2016,Neptune-like,0.34 x Jupiter,Unknown,25.3 days,0.0,Kepler-592,Transit,,,19h03m09.76s,285.790685,+48d40m59.7s,5913.0,1.04,1.04
3265,3265,Kepler-596 b,3533.0,11.8 Earths,14.014,2016,Neptune-like,0.309 x Jupiter,Unknown,21.3 days,0.0,Kepler-593,Transit,,,19h39m48.35s,294.951451,+48d39m04.3s,5967.0,1.08,1.1
3266,3266,Kepler-597 b,2153.0,6.21 Earths,14.018,2016,Neptune-like,0.211 x Jupiter,Unknown,13 days,0.0,Kepler-594,Transit,,,19h15m41.18s,288.921586,+49d45m43.3s,5485.0,0.91,0.87
3267,3267,Kepler-598 b,2238.0,2.86 Earths,14.721,2016,Super Earth,1.5 x Earth,Unknown,3.7 days,0.0,Kepler-595,Transit,,,19h38m16.89s,294.570393,+50d40m22.9s,5247.0,0.87,0.83
3268,3268,Kepler-598 c,2238.0,9.4 Earths,14.721,2020,Neptune-like,0.27 x Jupiter,Unknown,86.5 days,0.0,Kepler-596,Transit,,,19h18m00.16s,289.500676,+51d41m08.6s,6267.0,1.21,1.32
3269,3269,Kepler-599 b,2045.0,8.45 Earths,14.948,2016,Neptune-like,0.253 x Jupiter,Unknown,15.7 days,0.0,Kepler-597,Transit,,,19h33m52.83s,293.470106,+39d15m10.1s,5683.0,0.97,0.95
3270,3270,Kepler-59 b,3926.0,2.05 Jupiters,14.279,2012,Super Earth,1.1 x Earth,Unknown,11.9 days,0.0,Kepler-598,Transit,,,19h32m29.62s,293.123423,+40d56m05.2s,5307.0,0.87,0.86
3271,3271,Kepler-59 c,3926.0,1.37 Jupiters,14.279,2012,Neptune-like,1.98 x Earth,Unknown,18 days,0.0,Kepler-598,Transit,,,19h32m29.62s,293.123423,+40d56m05.2s,5307.0,0.87,0.86
3272,3272,Kepler-5 b,3012.0,2.111 Jupiters,13.226,2009,Gas Giant,1.426 x Jupiter,0.0538 AU,3.5 days,< 0.043,Kepler-599,Transit,,,19h03m38.76s,285.911509,+41d04m10.0s,5127.0,0.83,0.79
3273,3273,Kepler-600 b,2035.0,8.75 Earths,14.701,2016,Neptune-like,0.259 x Jupiter,Unknown,23.7 days,0.0,Kepler-6,Transit,88.93,0.4,19h47m20.94s,296.837254,+48d14m23.9s,5647.0,1.21,1.39
3274,3274,Kepler-601 b,1399.0,4.27 Earths,14.001,2016,Super Earth,1.9 x Earth,Unknown,5.4 days,0.0,Kepler-60,Transit,,4.62,19h15m50.70s,288.961242,+42d15m54.0s,5905.0,1.04,1.26
3275,3275,Kepler-602 b,3167.0,5.02 Earths,14.478,2016,Super Earth,2.09 x Earth,Unknown,15.3 days,0.0,Kepler-60,Transit,,3.06,19h15m50.70s,288.961242,+42d15m54.0s,5905.0,1.04,1.26
3276,3276,Kepler-603 b,3154.0,7.51 Earths,14.816,2016,Neptune-like,0.236 x Jupiter,Unknown,21.1 days,0.0,Kepler-60,Transit,,2.91,19h15m50.70s,288.961242,+42d15m54.0s,5905.0,1.04,1.26
3277,3277,Kepler-603 c,3154.0,34.5 Earths,14.816,2016,Neptune-like,0.58 x Jupiter,Unknown,127.9 days,0.0,Kepler-600,Transit,,,18h55m19.93s,283.833059,+41d58m43.1s,5279.0,0.84,0.81
3278,3278,Kepler-603 d,3154.0,2.3 Earths,14.816,2016,Super Earth,1.32 x Earth,Unknown,6.2 days,0.0,Kepler-601,Transit,,,18h48m01.11s,282.004612,+42d10m35.5s,5160.0,0.85,0.79
3279,3279,Kepler-604 b,3200.0,7.22 Earths,14.68,2016,Neptune-like,0.231 x Jupiter,Unknown,25.9 days,0.0,Kepler-602,Transit,,,19h44m07.68s,296.031983,+42d08m31.0s,6062.0,1.08,1.13
3280,3280,Kepler-605 b,1859.0,2.67 Earths,14.136,2016,Super Earth,1.44 x Earth,Unknown,3.4 days,0.0,Kepler-603,Transit,,,19h37m07.44s,294.280982,+42d17m27.5s,5808.0,1.01,1.01
3281,3281,Kepler-605 c,1859.0,0.566 Earths,14.136,2016,Terrestrial,0.86 x Earth,Unknown,2.4 days,0.0,Kepler-603,Transit,,,19h37m07.44s,294.280982,+42d17m27.5s,5808.0,1.01,1.01
3282,3282,Kepler-606 b,3940.0,11 Earths,14.664,2016,Neptune-like,0.295 x Jupiter,Unknown,24.3 days,0.0,Kepler-603,Transit,,,19h37m07.44s,294.280982,+42d17m27.5s,5808.0,1.01,1.01
3283,3283,Kepler-607 b,1631.0,0.59 Earths,14.375,2016,Terrestrial,0.87 x Earth,Unknown,0.6 days,0.0,Kepler-604,Transit,,,19h29m15.84s,292.316017,+42d37m34.5s,5890.0,1.02,1.03
3284,3284,Kepler-608 b,3021.0,12.9 Earths,14.657,2016,Neptune-like,0.325 x Jupiter,Unknown,6.4 days,0.0,Kepler-605,Transit,,,19h09m10.90s,287.295436,+43d16m47.5s,5462.0,0.91,0.88
3285,3285,Kepler-609 b,3728.0,11.2 Earths,14.804,2016,Neptune-like,0.299 x Jupiter,Unknown,6.5 days,0.0,Kepler-605,Transit,,,19h09m10.90s,287.295436,+43d16m47.5s,5462.0,0.91,0.88
3286,3286,Kepler-60 b,3445.0,4.19 Earths,13.913,2012,Super Earth,1.71 x Earth,0.07497 AU,7.1 days,0.01,Kepler-606,Transit,,,19h29m42.57s,292.427378,+44d22m52.6s,6161.0,1.13,1.22
3287,3287,Kepler-60 c,3445.0,3.85 Earths,13.913,2012,Super Earth,1.9 x Earth,0.08701 AU,8.9 days,0.03,Kepler-607,Transit,,,19h24m13.73s,291.057206,+44d37m56.6s,5196.0,0.84,0.8
3288,3288,Kepler-60 d,3445.0,4.16 Earths,13.913,2012,Neptune-like,1.99 x Earth,0.10548 AU,11.9 days,0.02,Kepler-608,Transit,,,19h35m31.90s,293.882931,+44d38m17.1s,5820.0,1.0,1.01
3289,3289,Kepler-610 b,3631.0,16.3 Earths,14.77,2016,Neptune-like,0.374 x Jupiter,Unknown,7 days,0.0,Kepler-609,Transit,,,19h28m52.88s,292.220313,+44d42m00.1s,5971.0,1.09,1.14
3290,3290,Kepler-610 c,3631.0,10.9 Earths,14.77,2016,Neptune-like,0.294 x Jupiter,Unknown,151.9 days,0.0,Kepler-61,Transit,89.8,,19h41m13.08s,295.304508,+42d28m31.0s,4017.0,0.64,0.62
3291,3291,Kepler-611 b,2955.0,3.36 Earths,14.572,2016,Super Earth,1.65 x Earth,Unknown,2.4 days,0.0,Kepler-610,Transit,,,19h32m41.12s,293.171343,+45d03m56.2s,5943.0,1.1,1.13
3292,3292,Kepler-612 b,3040.0,8.45 Earths,14.91,2016,Neptune-like,0.253 x Jupiter,Unknown,3.7 days,0.0,Kepler-610,Transit,,,19h32m41.12s,293.171343,+45d03m56.2s,5943.0,1.1,1.13
3293,3293,Kepler-613 b,2818.0,5.86 Earths,14.589,2016,Neptune-like,0.204 x Jupiter,Unknown,15.8 days,0.0,Kepler-611,Transit,,,19h04m01.19s,286.004962,+45d28m49.4s,5761.0,1.01,1.01
3294,3294,Kepler-614 b,1863.0,6.3 Earths,14.544,2016,Neptune-like,0.213 x Jupiter,Unknown,14 days,0.0,Kepler-612,Transit,,,19h25m25.11s,291.354639,+45d44m52.4s,5693.0,0.98,0.96
3295,3295,Kepler-615 b,1076.0,3.68 Earths,14.349,2016,Super Earth,1.74 x Earth,Unknown,10.4 days,0.0,Kepler-613,Transit,,,18h51m08.84s,282.786824,+46d14m42.0s,5723.0,0.98,0.96
3296,3296,Kepler-616 b,3324.0,6.48 Earths,14.947,2016,Neptune-like,0.217 x Jupiter,Unknown,10 days,0.0,Kepler-614,Transit,,,19h53m32.36s,298.384823,+46d16m33.8s,5268.0,0.85,0.81
3297,3297,Kepler-616 c,3324.0,11.5 Earths,14.947,2016,Neptune-like,0.304 x Jupiter,Unknown,90.4 days,0.0,Kepler-615,Transit,,,18h49m48.14s,282.450603,+46d19m17.1s,4655.0,0.73,0.69
3298,3298,Kepler-617 b,489.0,2.3 Earths,14.828,2016,Super Earth,1.32 x Earth,Unknown,1.7 days,0.0,Kepler-616,Transit,,,19h39m57.39s,294.989131,+46d50m18.0s,5753.0,0.98,0.97
